GEO_ID,NAME,S2701_C01_001E
,,
37001,"Alamance County, North Carolina",175222
37019,"Brunswick County, North Carolina",152243
37021,"Buncombe County, North Carolina",270154
37023,"Burke County, North Carolina",85610
37025,"Cabarrus County, North Carolina",234117
37027,"Caldwell County, North Carolina",79815
37031,"Carteret County, North Carolina",68154
37035,"Catawba County, North Carolina",162135
37037,"Chatham County, North Carolina",79162
37045,"Cleveland County, North Carolina",99715
37049,"Craven County, North Carolina",93176
37051,"Cumberland County, North Carolina",298510
37057,"Davidson County, North Carolina",171049
37063,"Durham County, North Carolina",327415
37067,"Forsyth County, North Carolina",386588
37069,"Franklin County, North Carolina",73614
37071,"Gaston County, North Carolina",231954
37081,"Guilford County, North Carolina",542016
37085,"Harnett County, North Carolina",131786
37089,"Henderson County, North Carolina",116950
37097,"Iredell County, North Carolina",193971
37101,"Johnston County, North Carolina",232891
37105,"Lee County, North Carolina",64621
37109,"Lincoln County, North Carolina",92450
37119,"Mecklenburg County, North Carolina",1140026
37125,"Moore County, North Carolina",99863
37127,"Nash County, North Carolina",94825
37129,"New Hanover County, North Carolina",232633
37133,"Onslow County, North Carolina",167001
37135,"Orange County, North Carolina",149549
37141,"Pender County, North Carolina",63869
37147,"Pitt County, North Carolina",171897
37151,"Randolph County, North Carolina",144909
37155,"Robeson County, North Carolina",114982
37157,"Rockingham County, North Carolina",91069
37159,"Rowan County, North Carolina",147044
37171,"Surry County, North Carolina",70224
37179,"Union County, North Carolina",248162
37183,"Wake County, North Carolina",1167802
37191,"Wayne County, North Carolina",112252
37193,"Wilkes County, North Carolina",64855
37195,"Wilson County, North Carolina",77611